line,text
1,Game of Thrones – The Lion and the Rose
2,EPISODE 2 - THE LION AND THE ROSE
3,"EXT: WOODS, DAY"
4,"Dogs bark and a woman laughs. Another woman breathes in panic, gasping for breath"
5,Ramsay: Tansy! Tansy! Tansy!
6,"RAMSAY and MYRANDA run together, holding hands. They each hold a bow as they run. They are happy, excited and enjoying themselves. THEON limps behind them, trying to keep up. The hunting dogs continue to bark."
7,RAMSAY: Tansy! Tansy!
8,"TANSY runs through the woods, the hunting dogs barking in pursuit. Further behind are RAMSAY, MYRANDA and THEON."
9,RAMSAY: There you are.
10,TANSAY: (screams)
11,"MYRANDA: (laughing) I can't see her, Ramsay."
12,RAMSAY: Tansy!
13,"RAMSAY notches an arrow. TANSY pauses at a tree, gasping for breath. RAMSAY's arrow strikes the tree, just inches from her face. She screams, and begins running again."
14,"RAMSAY: If you make it out of the woods, you win! Run, Tansy, run!"
15,"MYRANDA expertly notches an arrow and lets it fly. It flies past TANSY, who stumbles down into a muddy stream, gasping and screaming. She scrambles on all fours in panic, pauses to hide in the shadowed stream bed. She sobs."
16,RAMSAY: Tansy.
17,MYRANDA: Where is she?
18,"RAMSAY: Tansy, Tansy, Tansy!"
19,"The hunting dogs come barreling down the stream bed towards TANSY. She shrieks and whimpers, and starts running once again. The dogs chase her through a small tunnel and back into the woods proper. MYRANDA lets another arrow fly, with concentration and precision. It hits TANSY in the leg, and she falls, sobbing. The dogs terrorize her. RAMSAY, MYRANDA and THEON catch up."
20,"RAMSAY: Good girls. Down, girls. Down. Well done. You, too."
21,MYRANDA: I only wounded her.
22,"RAMSAY: You brought her down. That's what matters. A fine shot. Wasn't it, Reek?"
23,"THEON: A fine shot, master. My lady."
24,"TANSY: Please, my lord. It hurts."
25,"RAMSAY: Oh, sweet. Don't cry. It will be over soon."
26,MYRANDA notches another arrow at takes aim.
27,MYRANDA: She thinks she's pretty. Let me put one through her face.
28,"RAMSAY: We have to reward the hounds, love. They did all the hard work."
29,TANSY: Why? I did whatever you asked.
30,RAMSAY: But you made Myranda feel jealous.
31,"MYRANDA lowers her bow, a bit taken aback."
32,MYRANDA: Me jealous of her?
33,"TANSY: My lord, please."
34,RAMSAY: You can see that your presence has become a bit of a problem.
35,RAMSAY turns from jaunty to ferocious.
36,RAMSAY: Rip her! Rip her! Rip her!
37,"Off camera, the dogs tear into TANSY. She screams. THEON watches, dejected and powerless. Sounds of ripping flesh and TANSY screaming fill the woods."
38,RAMSAY: Not so pretty now.
39,"TANSY's screams have stopped, but the sounds of ripping flesh continue. THEON struggles to hold back tears."
40,INT: KING'S LANDING
41,"PODRICK serves sausages to TYRION. JAIME sits at the table, uncomfortably."
42,"TYRION: Your new hand, it's nicer than the old one. Wouldn't you agree, Pod?"
43,PODRICK: Is it solid gold?
44,JAIME: Gilded steel.
45,TYRION: You're not eating. Why is no one eating? My wife wastes away and my brother starves himself.
46,JAIME: I'm not hungry.
47,"TYRION: You lost a hand, not a stomach. Try the boar. Cersei can't get enough of it since one killed Robert for her."
48,TYRION raises his cup.
49,"TYRION: A toast. To the proud Lannister children. The dwarf, the cripple, and the mother of madness."
50,"JAIME moves to raise his own cup, but knocks it over clumsily with his left hand."
51,JAIME: Oh!
52,PODRICK: I'll clean it up.
53,"JAIME: No, I'll do it. Leave us."
54,"PODRICK exits, while JAIME places his cup right-side up."
55,TYRION: It's only wine.
56,He holds up his own cup and pours it out onto the table. JAIME sits back in resignation. TYRION stands and pours more wine.
57,JAIME: I can't fight anymore.
58,TYRION: What about your left?
59,"JAIME: I can hold a sword, but all my instincts are wrong. How can I protect the king when I can hardly wipe my own ass?"
60,TYRION: You're the Lord Commander now. Command. Let others do the fighting. When was the last time Father used a sword?
61,JAIME: I'm not Father. I'm the Kingslayer. When people find out I can't slay a pigeon...
62,"TYRION: Train, then. Learn to fight with your other hand."
63,TYRION sits back down.
64,"JAIME: With whom? You? Men talk. Soon as someone discovers I can't fight, he'll tell everyone."
65,"TYRION: You need a proper, discreet swordsman. As it happens, I have just the one."
66,"EXT: A ROCKY KING'S LANDING SHORELINE, DAY"
67,"BRONN appears, carrying some swords. He joins JAIME, who sits by the shore."
68,JAIME: My brother tells me you can keep your mouth shut. Unusual talent for a sellsword.
69,BRONN: He tells me you shit gold just like your father.
70,JAIME: Is this place safe?
71,JAIME tosses a pouch of gold to BRONN.
72,"BRONN: There's this knight, Leygood, got thunderbolts on his shield."
73,JAIME: Uh-huh.
74,"BRONN: Right here is where I fuck his wife. She's a screamer, that one. If they don't hear her, they won't hear us."
75,"BRONN pockets the gold. JAIME gets his sword, and spins it in his wrist to warm it. BRONN whistles in admiration."
76,"BRONN: I've never seen Valyrian steel before. She's a beauty. The problem is, if you fight with an edged blade, I'll have to."
